"b_no_choice","b_powertrainbev","b_powertrainhev","b_range_bev","b_mileage","b_age","b_operating_cost","b_price","logLike"
0,0,0,0,0,0,0,-1,-4208.42940834526
0.090349987597742,0.106618057683795,-0.00269187153611304,0.0355462647569488,0.0260348650832999,0.0150407717342152,0.0440829303754817,-0.939602534343012,-3930.8659131807
-0.434746559775265,0.416651076268998,-0.0292612434948382,0.0459878738661191,0.0798228570279747,0.0411167055473366,0.0542278497547627,-0.589113928052274,-3437.23035784609
-0.480628820414548,1.14194529693437,-0.305828825038051,-0.0882161645253424,0.0852196716947479,0.0464740940050537,-0.810693798715503,0.371737722817691,-3313.43399186062
-2.92855209988229,-3.53631316837687,-0.245645852034933,0.704970416215682,-0.275281164552457,-0.1212720253663,-0.790455450306209,0.535483269472347,-2851.18965807111
-4.54182517500131,-3.06989371899046,-0.315671599009891,0.525065863489028,-0.356888278294557,-0.149218015147822,-0.800362749449808,0.623315551538812,-2727.78590713134
-4.70031475981406,-2.91340922345079,-0.208193789422594,0.499252583049381,-0.35135633438592,-0.148014224972379,-0.767088746025871,0.661369053434365,-2726.77637090749
-4.71819263639733,-2.92535899707942,-0.212843560945698,0.501449145620982,-0.351234209736934,-0.147481437910961,-0.770654497538024,0.663291016068041,-2726.76952474854
-4.71998089117703,-2.92533214037632,-0.212644455747383,0.501383930925505,-0.351248891930728,-0.147528064086653,-0.770553894328133,0.66354810056181,-2726.76944714598
-4.72022808795274,-2.92550508340418,-0.212654496828977,0.501420159717422,-0.351260832249579,-0.147530286382452,-0.770572347460402,0.663570450935491,-2726.76944593093
-4.72022668619077,-2.92551058283633,-0.212654547645812,0.501420445131036,-0.351261903623684,-0.147530666008002,-0.770574791614255,0.66356912135207,-2726.7694459301
