"b_mileage","b_range_year0","b_degradation","b_packreplace","b_cellreplace","b_no_choice","mu_price","logLike"
0,0,0,0,0,0,-1,-21782.875591976
0.0249806463862562,0.0318246219429345,0.0160778763582909,0.08776310982412,0.0882090308919465,-0.095462692757435,-0.979299468701326,-19844.5143472815
0.0659774723795121,0.149291311796874,0.0312053282364176,0.120286549992836,0.13340057347261,-0.871446706858611,-1.03198131892821,-16042.0376218234
0.133046216114901,0.410490572628793,0.0413643828629212,0.111213527560417,0.178118897051548,-1.17941494039216,-0.807509430413319,-12568.120044411
0.171297114539645,0.468157140004322,-0.014819475375377,-0.11371844347088,-0.041659174967224,-0.947865405824322,-0.475590267847536,-12136.7368502628
0.0983914497815315,0.321079540049497,-0.0530718045202676,-0.312334925731818,-0.223214469612725,-0.869263595333915,-0.218465493491228,-11984.7442163856
0.0238032362291219,0.220007809147067,-0.0624863236921358,-0.376308472997317,-0.266396725482488,-0.86592196155907,-0.0796211521510939,-11957.5851543437
0.021456429762729,0.229293850336203,-0.0608566308107419,-0.368551325833908,-0.262468217046779,-0.869498516708233,-0.0840012040241385,-11957.3860397874
0.0211979647038211,0.229418909371701,-0.0606337217617122,-0.368663187126104,-0.262677620914851,-0.86951130624091,-0.0840785027305587,-11957.3858811865
0.0211744533624124,0.229444895627094,-0.0606406270850145,-0.368652693996556,-0.262706650740601,-0.869507005166675,-0.084060662238049,-11957.3858803946
