"asc_1","asc_2","beta_tt_a","beta_tt_b","beta_tc_a","beta_tc_b","beta_hw_a","beta_hw_b","beta_ch_a","beta_ch_b","delta_a","gamma_commute_a","gamma_car_av_a","delta_b","gamma_commute_b","gamma_car_av_b","inSample_Class_1","inSample_Class_2","inSample_model","outOfSample_Class_1","outOfSample_Class_2","outOfSample_model","inSampleObs","outOfSampleObs"
0.00575684373805595,0,-0.214821988150252,-0.034405087060781,-0.790030120992205,-0.0475614236954472,-0.0568264797904367,-0.0332351966396792,-2.76284608953236,-0.577020143665742,0.169261039958082,0.508416377493113,-0.450371668715496,0,0,0,-2278.13819566078,-1607.68682275868,-1395.18516074587,-225.41446684644,-179.866014282951,-164.733101388561,3141,351
-0.0366086236172199,0,-0.228456685475302,-0.0372050873792242,-0.819446010720253,-0.0567434954428913,-0.0540323275207876,-0.0351959937175022,-2.64925255172743,-0.651183805219871,0.106991693839839,0.441723946812537,-0.557527084434543,0,0,0,-2230.89891951741,-1584.72189008371,-1410.65676886446,-269.073357053577,-174.008475051138,-149.5189531294,3141,351
-0.0212983092465464,0,-0.187349386981836,-0.0402166303584811,-0.71697459247992,-0.0498807482085162,-0.053798221601221,-0.0348597264877208,-2.48291704148295,-0.576733083041109,0.203991545623732,0.515185764052326,-0.513484263521366,0,0,0,-2172.43024122257,-1611.06698709184,-1412.48054057044,-191.597924909536,-182.343176798377,-147.339455910517,3141,351
-0.028545129062317,0,-0.208210603200849,-0.0400898575677723,-0.769976510286292,-0.0514906554109295,-0.0527712983902098,-0.0352991236101511,-2.59340263703581,-0.579442106141083,0.308548429129339,0.455377464117014,-0.708725679574982,0,0,0,-2225.87504038506,-1615.04328885486,-1400.75570040907,-215.892669867732,-176.697650465286,-159.033282565458,3141,351
-0.0556479832742653,0,-0.237738359638668,-0.0361816068324783,-0.868049154961065,-0.0575965178597085,-0.050394505891942,-0.0340264047138552,-2.81383183931968,-0.671946988167755,0.101191285640183,0.472869430537623,-0.73656244864137,0,0,0,-2324.76213691225,-1579.78884816848,-1413.92447096637,-301.811337335372,-170.028591547406,-147.582008465686,3141,351
-0.0148129868404551,0,-0.15872964596368,-0.0566888365688917,-0.72328215147836,-0.0627395652158156,-0.0444730709457362,-0.0433865416083693,-2.27108148240398,-0.7875429915904,0.192198045021399,0.264461708363823,-0.725106705694164,0,0,0,-2142.83977275635,-1564.6683570306,-1377.33116389928,-312.458087729632,-198.343703797618,-186.746165644244,3141,351
-0.0859806510986929,0,-0.177974224763896,-0.0450533088786621,-0.720438832912607,-0.0501026585448315,-0.0467303580058148,-0.0402598828457567,-2.47950117558404,-0.654464159543812,0.18470180098692,0.226365773138675,-0.511225250085867,0,0,0,-2204.96483287398,-1601.38904577066,-1401.74771222316,-215.649349735717,-184.236794775847,-159.188032920282,3141,351
-0.0474314096114955,0,-0.269692391282867,-0.0348241317529813,-0.953807917180933,-0.0549570940893755,-0.0526961744947492,-0.0355464257029053,-2.87434226728983,-0.703246548277718,-0.0512019656788753,0.433856234572226,-0.602093272593535,0,0,0,-2472.04341226326,-1571.65250813522,-1413.3360290352,-260.814533548106,-171.789830612914,-149.11628233725,3141,351
-0.0186053683829693,0,-0.222560694633696,-0.0381265285569925,-0.82689371597305,-0.0517759501143325,-0.0521948601196195,-0.0347802015403863,-2.87477953903999,-0.639609541445802,0.174894409826417,0.358246112231779,-0.597747169904703,0,0,0,-2301.92807288929,-1595.94297449243,-1395.55936111954,-297.940730649317,-169.300439369779,-164.396018939339,3141,351
-0.0323860585455587,0,-0.22234795576243,-0.0344572845637894,-0.819124919204357,-0.0509282373261588,-0.0575928361593295,-0.0346504866733737,-2.64483698613806,-0.626659791323063,0.0983585230127719,0.573825366204978,-0.592074753403819,0,0,0,-2260.39041686285,-1586.04730366611,-1408.30055849493,-239.168511622265,-182.832760836315,-151.786308903033,3141,351
